team,gf_total,ga_total,sog_pg,sa_pg,games_played
ANA,273,288,1.6,1.5,82
BOS,272,250,1.2,1.7,82
BUF,288,241,1.7,1.2,82
CAR,296,240,1.6,1.3,82
CBJ,253,253,31.0,28.7,82
CGY,212,259,25.6,29.7,82
CHI,213,275,22.8,29.8,82
COL,302,203,1.5,1.2,82
DAL,279,226,1.7,1.6,82
DET,241,258,29.7,27.5,82
EDM,282,269,1.5,1.6,82
FLA,251,276,28.4,26.5,82
LAK,225,247,1.2,1.5,82
MIN,272,240,1.6,1.7,82
MTL,283,256,1.1,1.1,82
NJD,230,254,29.3,27.2,82
NSH,247,269,23.8,29.4,82
NYI,233,241,29.2,27.5,82
NYR,238,250,22.4,28.5,82
OTT,278,246,1.3,1.6,82
PHI,250,243,1.5,1.4,82
PIT,293,268,1.4,1.5,82
SEA,226,263,26.2,29.2,82
SJS,251,292,25.9,29.4,82
STL,231,258,22.8,27.6,82
TBL,290,231,1.1,1.1,82
TOR,253,299,23.4,31.2,82
UTA,268,240,1.3,1.5,82
VAN,216,316,22.2,29.5,82
VGK,265,250,1.5,1.3,82
WPG,231,260,24.8,27.6,82
WSH,263,244,26.9,27.9,82
